WIID,Description,Type,Status,Date
107813653,Verify Account Position,WI1,Open,10/22/2018
107813577,Generate Yearly Report for Vendor,WI4,Open,4/2/2025
107813627,Research Client Check Copy,WI2,Open,8/29/2018
107813623,Research Client Check Copy,WI2,Open,9/3/2023
107813593,Process Vendor Invoice,WI3,Open,4/28/2023
107813687,Verify Account Position,WI1,Open,7/25/2022
107813598,Process Vendor Invoice,WI3,Open,5/6/2018
107813658,Verify Account Position,WI1,Open,9/25/2020
107813603,Research Client Check Copy,WI2,Open,6/16/2019
107813559,Calculate Client Security Hash,WI5,Open,7/10/2025
107813570,Calculate Client Security Hash,WI5,Open,2/9/2024
107813633,Research Client Check Copy,WI2,Open,5/2/2021
107813589,Process Vendor Invoice,WI3,Open,4/11/2024
107813640,Research Client Check Copy,WI2,Open,10/8/2017
107813643,Research Client Check Copy,WI2,Open,11/4/2017
107813650,Research Client Check Copy,WI2,Open,4/5/2018
107813644,Research Client Check Copy,WI2,Open,6/20/2019
107813572,Calculate Client Security Hash,WI5,Open,7/7/2017
107813555,Calculate Client Security Hash,WI5,Open,6/23/2023
107813614,Research Client Check Copy,WI2,Open,3/27/2022
107813610,Research Client Check Copy,WI2,Open,10/6/2018
107813626,Research Client Check Copy,WI2,Open,4/29/2020
107813647,Research Client Check Copy,WI2,Open,9/23/2017
107813568,Calculate Client Security Hash,WI5,Open,6/2/2025
107813659,Verify Account Position,WI1,Open,10/26/2019
107813557,Calculate Client Security Hash,WI5,Open,3/28/2021
107813621,Research Client Check Copy,WI2,Open,6/26/2024
107813565,Calculate Client Security Hash,WI5,Open,2/23/2022
107813611,Research Client Check Copy,WI2,Open,2/27/2017
107813675,Verify Account Position,WI1,Open,5/5/2017
107813567,Calculate Client Security Hash,WI5,Open,1/22/2020
107813579,Generate Yearly Report for Vendor,WI4,Open,4/28/2021
107813671,Verify Account Position,WI1,Open,7/7/2017
107813666,Verify Account Position,WI1,Open,11/18/2023
107813569,Calculate Client Security Hash,WI5,Open,4/17/2021
107813682,Verify Account Position,WI1,Open,10/8/2025
107813631,Research Client Check Copy,WI2,Open,11/14/2021
107813669,Verify Account Position,WI1,Open,8/27/2021
107813677,Verify Account Position,WI1,Open,4/5/2023
107813645,Research Client Check Copy,WI2,Open,10/2/2022
107813618,Research Client Check Copy,WI2,Open,9/1/2023
107813622,Research Client Check Copy,WI2,Open,8/31/2021
107813581,Generate Yearly Report for Vendor,WI4,Open,11/29/2019
107813681,Verify Account Position,WI1,Open,1/13/2017
107813573,Calculate Client Security Hash,WI5,Open,9/12/2020
107813688,Verify Account Position,WI1,Open,8/20/2022
107813639,Research Client Check Copy,WI2,Open,3/10/2023
107813664,Verify Account Position,WI1,Open,4/4/2020
107813576,Generate Yearly Report for Vendor,WI4,Open,11/16/2023
107813616,Research Client Check Copy,WI2,Open,4/6/2020
107813636,Research Client Check Copy,WI2,Open,9/27/2024
107813620,Research Client Check Copy,WI2,Open,6/21/2023
107813575,Generate Yearly Report for Vendor,WI4,Open,2/15/2024
107813595,Process Vendor Invoice,WI3,Open,9/6/2023
107813660,Verify Account Position,WI1,Open,6/18/2022
107813566,Calculate Client Security Hash,WI5,Open,11/8/2022
107813632,Research Client Check Copy,WI2,Open,2/7/2019
107813654,Verify Account Position,WI1,Open,8/14/2017
107813656,Verify Account Position,WI1,Open,6/30/2022
107813607,Research Client Check Copy,WI2,Open,11/25/2024
107813599,Process Vendor Invoice,WI3,Open,12/28/2020
107813558,Calculate Client Security Hash,WI5,Open,4/13/2019
107813691,Verify Account Position,WI1,Open,8/10/2025
107813629,Research Client Check Copy,WI2,Open,1/17/2017
107813596,Process Vendor Invoice,WI3,Open,8/9/2025
107813601,Process Vendor Invoice,WI3,Open,5/18/2019
107813562,Calculate Client Security Hash,WI5,Open,9/14/2023
107813662,Verify Account Position,WI1,Open,10/19/2021
107813641,Research Client Check Copy,WI2,Open,2/18/2018
107813592,Process Vendor Invoice,WI3,Open,12/11/2021
107813583,Generate Yearly Report for Vendor,WI4,Open,6/2/2025
107813690,Verify Account Position,WI1,Open,3/8/2020
107813689,Verify Account Position,WI1,Open,3/7/2024
107813580,Generate Yearly Report for Vendor,WI4,Open,9/9/2019
107813684,Verify Account Position,WI1,Open,12/4/2017
107813680,Verify Account Position,WI1,Open,12/23/2019
107813587,Generate Yearly Report for Vendor,WI4,Open,11/29/2019
107813683,Verify Account Position,WI1,Open,2/27/2018
107813668,Verify Account Position,WI1,Open,3/13/2021
107813600,Process Vendor Invoice,WI3,Open,1/5/2025
107813560,Calculate Client Security Hash,WI5,Open,5/12/2023
107813670,Verify Account Position,WI1,Open,11/12/2017
107813634,Research Client Check Copy,WI2,Open,1/3/2022
107813667,Verify Account Position,WI1,Open,7/17/2025
107813597,Process Vendor Invoice,WI3,Open,8/27/2023
107813648,Research Client Check Copy,WI2,Open,3/18/2025
107813657,Verify Account Position,WI1,Open,5/7/2024
107813646,Research Client Check Copy,WI2,Open,6/18/2022
107813651,Research Client Check Copy,WI2,Open,10/15/2025
107813608,Research Client Check Copy,WI2,Open,2/7/2020
107813556,Calculate Client Security Hash,WI5,Open,1/12/2023
107813564,Calculate Client Security Hash,WI5,Open,5/2/2023
107813624,Research Client Check Copy,WI2,Open,4/7/2024
107813625,Research Client Check Copy,WI2,Open,5/30/2022
107813678,Verify Account Position,WI1,Open,12/17/2017
107813604,Research Client Check Copy,WI2,Open,1/17/2019
107813679,Verify Account Position,WI1,Open,11/21/2017
107813652,Verify Account Position,WI1,Open,8/6/2020
107813571,Calculate Client Security Hash,WI5,Open,9/8/2021
107813617,Research Client Check Copy,WI2,Open,12/15/2019
107813584,Generate Yearly Report for Vendor,WI4,Open,4/13/2017
107813673,Verify Account Position,WI1,Open,3/1/2022
107813642,Research Client Check Copy,WI2,Open,11/22/2017
107813591,Process Vendor Invoice,WI3,Open,12/30/2019
107813630,Research Client Check Copy,WI2,Open,11/1/2018
107813605,Research Client Check Copy,WI2,Open,5/19/2025
107813649,Research Client Check Copy,WI2,Open,10/1/2025
107813602,Research Client Check Copy,WI2,Open,8/6/2021
107813586,Generate Yearly Report for Vendor,WI4,Open,10/3/2020
107813613,Research Client Check Copy,WI2,Open,3/29/2022
107813692,Verify Account Position,WI1,Open,10/16/2017
107813574,Calculate Client Security Hash,WI5,Open,4/19/2017
107813637,Research Client Check Copy,WI2,Open,5/27/2024
107813594,Process Vendor Invoice,WI3,Open,9/26/2022
107813661,Verify Account Position,WI1,Open,2/19/2024
107813663,Verify Account Position,WI1,Open,9/8/2022
107813615,Research Client Check Copy,WI2,Open,8/2/2020
107813619,Research Client Check Copy,WI2,Open,5/12/2025
107813676,Verify Account Position,WI1,Open,11/23/2024
107813685,Verify Account Position,WI1,Open,3/8/2019
107813606,Research Client Check Copy,WI2,Open,1/30/2017
107813563,Calculate Client Security Hash,WI5,Open,6/16/2022
107813612,Research Client Check Copy,WI2,Open,9/18/2024
107813561,Calculate Client Security Hash,WI5,Open,3/27/2020
107813588,Process Vendor Invoice,WI3,Open,3/3/2019
107813590,Process Vendor Invoice,WI3,Open,2/16/2024
107813578,Generate Yearly Report for Vendor,WI4,Open,9/30/2023
107813635,Research Client Check Copy,WI2,Open,5/15/2023
107813672,Verify Account Position,WI1,Open,7/24/2017
107813585,Generate Yearly Report for Vendor,WI4,Open,5/18/2018
107813665,Verify Account Position,WI1,Open,8/9/2022
107813582,Generate Yearly Report for Vendor,WI4,Open,2/5/2024
107813686,Verify Account Position,WI1,Open,1/20/2023
107813655,Verify Account Position,WI1,Open,10/27/2024
107813638,Research Client Check Copy,WI2,Open,9/11/2017
107813674,Verify Account Position,WI1,Open,12/10/2019
107813628,Research Client Check Copy,WI2,Open,7/8/2020
107813609,Research Client Check Copy,WI2,Open,1/17/2022
